Log created: 2024-08-06 14:02:10
Type: backup
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_redirection_groups
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_tec_occurrences
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_term_taxonomy
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_termmeta
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_terms
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_tm_taskmeta
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_wc_customer_lookup
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_wc_download_log
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_wc_order_coupon_lookup
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_wc_order_operational_data
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_wc_order_tax_lookup
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_wc_orders_meta
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_woocommerce_api_keys
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_woocommerce_order_itemmeta
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_woocommerce_payment_tokenmeta
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_woocommerce_shipping_zone_locations
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_woocommerce_tax_rate_locations
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_wpmailsmtp_debug_events
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_yoast_primary_term
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_yoast_seo_links
[2024-08-06 14:02:20][notice]Preparing to dump table wpzo_bp_groups
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_bp_optouts
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_duplicator_packages
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_mailpoet_automation_run_logs
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_mailpoet_newsletter_links
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_mailpoet_statistics_clicks
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_mailpoet_statistics_unsubscribes
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_mepr_rule_access_conditions
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_redirection_404
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_redirection_logs
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_rt_rtm_activity
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_term_relationships
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_um_metadata
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_users
[2024-08-06 14:02:21][notice]Preparing to dump table wpzo_wc_order_stats
[2024-08-06 14:02:22][notice]Preparing to dump table wpzo_yith_wcwl_lists
[2024-08-06 14:02:22][notice]Preparing to dump table wpzo_yoast_indexable_hierarchy
[2024-08-06 14:02:22][notice]Preparing to dump table wpzo_bm_message_messages
[2024-08-06 14:02:22][notice]Preparing to dump table wpzo_gamipress_user_earnings_meta
[2024-08-06 14:02:22][notice]Preparing to dump table wpzo_jetpack_sync_queue
[2024-08-06 14:02:22][notice]Preparing to dump table wpzo_mailpoet_scheduled_task_subscribers
[2024-08-06 14:02:22][notice]Preparing to dump table wpzo_mepr_tax_rate_locations
[2024-08-06 14:02:22][notice]Preparing to dump table wpzo_nextend2_section_storage
[2024-08-06 14:02:22][notice]Preparing to dump table wpzo_nextend2_smartslider3_sliders
[2024-08-06 14:02:22][notice]Preparing to dump table wpzo_signups
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_wc_order_addresses
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_wc_order_product_lookup
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_woocommerce_downloadable_product_permissions
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_woocommerce_tax_rates
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_wpuf_transaction
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_bp_messages_recipients
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_bp_xprofile_fields
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_litespeed_url_file
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_mailpoet_automation_runs
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_mailpoet_statistics_opens
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_mailpoet_statistics_woocommerce_purchases
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_mepr_orders
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_wc_admin_note_actions
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_wc_admin_notes
[2024-08-06 14:02:23][notice]Preparing to dump table wpzo_bm_message_recipients
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_bp_groups_members
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_comments
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_redirection_items
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_bp_notifications
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_e_submissions_actions_log
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_rt_rtm_media
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_gamipress_user_earnings
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_mepr_events
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_wc_orders
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_bp_invitations
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_mepr_jobs
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_mepr_tax_rates
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_nextend2_smartslider3_slides
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_mailpoet_newsletters
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_yoast_indexable
[2024-08-06 14:02:24][notice]Preparing to dump table wpzo_mailpoet_scheduled_tasks
[2024-08-06 14:02:25][notice]Preparing to dump table wpzo_mailpoet_subscribers
[2024-08-06 14:02:25][notice]Preparing to dump table wpzo_bp_activity
[2024-08-06 14:02:25][notice]Preparing to dump table wpzo_e_submissions
[2024-08-06 14:02:25][notice]Preparing to dump table wpzo_mepr_members
[2024-08-06 14:02:25][notice]Preparing to dump table wpzo_mepr_subscriptions
[2024-08-06 14:02:25][notice]Preparing to dump table wpzo_mepr_transactions
[2024-08-06 14:02:25][notice]Preparing to dump table wpzo_usermeta
[2024-08-06 14:02:25][notice]Preparing to dump table wpzo_wc_product_meta_lookup
[2024-08-06 14:02:25][notice]Preparing to dump table wpzo_gamipress_logs
[2024-08-06 14:02:26][notice]Preparing to dump table wpzo_gamipress_logs_meta
[2024-08-06 14:02:26][notice]Preparing to dump table wpzo_mailpoet_newsletter_templates
[2024-08-06 14:02:26][notice]Preparing to dump table wpzo_actionscheduler_logs
[2024-08-06 14:02:26][notice]Preparing to dump table wpzo_posts
[2024-08-06 14:02:27][notice]Preparing to dump table wpzo_options
[2024-08-06 14:02:27][notice]Preparing to dump table wpzo_actionscheduler_actions
[2024-08-06 14:02:27][notice]Preparing to dump table wpzo_postmeta
[2024-08-06 14:02:31][notice]Exporting database finished.
[2024-08-06 14:02:31][notice]Start compressing database
[2024-08-06 14:02:31][notice]Prepare to zip file. file: yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_db.sql
[2024-08-06 14:02:34][notice]Adding zip files completed.yeslove.co.uk_wpvivid-66b21ed2e569a_2024-08-06-14-02_backup_db.part001.zip, filesize: 9.86 MB
[2024-08-06 14:02:35][notice]Compressing database completed
[2024-08-06 14:02:35][notice]Backing up backup_db completed.
[2024-08-06 14:02:35][notice]Prepare to backup backup_themes files.
